1.8235 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
33.2505 	EXP 	target: text = 'red'
33.7343 	EXP 	target: autoDraw = True
34.5700 	EXP 	New trial (rep=1, index=4): {'word': 'blue', 'color': 'blue', 'congruent': 1, 'corrAns': 'right'}
34.5724 	DATA 	Keypress: down
34.5852 	EXP 	target: autoDraw = False
34.5852 	EXP 	target: height = 0.05
34.5852 	EXP 	target: height = 0.05
34.5852 	EXP 	target: height = 0.05
34.5852 	EXP 	target: text = 'blue'
35.0690 	EXP 	target: autoDraw = True
35.5708 	EXP 	New trial (rep=1, index=5): {'word': 'green', 'color': 'green', 'congruent': 1, 'corrAns': 'down'}
35.5739 	DATA 	Keypress: right
35.5862 	EXP 	target: autoDraw = False
35.5862 	EXP 	target: height = 0.05
35.5862 	EXP 	target: height = 0.05
35.5862 	EXP 	target: height = 0.05
35.5862 	EXP 	target: text = 'green'
36.0700 	EXP 	target: autoDraw = True
37.2396 	EXP 	New trial (rep=2, index=0): {'word': 'green', 'color': 'green', 'congruent': 1, 'corrAns': 'down'}
37.2408 	DATA 	Keypress: down
37.2542 	EXP 	target: autoDraw = False
37.2542 	EXP 	target: text = 'green'
37.7383 	EXP 	target: autoDraw = True
38.1400 	EXP 	New trial (rep=2, index=1): {'word': 'blue ', 'color': 'red', 'congruent': 0, 'corrAns': 'left'}
38.1425 	DATA 	Keypress: down
38.1554 	EXP 	target: autoDraw = False
38.1554 	EXP 	target: height = 0.05
38.1554 	EXP 	target: height = 0.05
38.1554 	EXP 	target: height = 0.05
38.1554 	EXP 	target: text = 'blue '
38.6394 	EXP 	target: autoDraw = True
39.4916 	EXP 	New trial (rep=2, index=2): {'word': 'green', 'color': 'blue', 'congruent': 0, 'corrAns': 'right'}
39.4943 	DATA 	Keypress: left
39.5067 	EXP 	target: autoDraw = False
39.5067 	EXP 	target: height = 0.05
39.5067 	EXP 	target: height = 0.05
39.5067 	EXP 	target: height = 0.05
39.5067 	EXP 	target: text = 'green'
39.9905 	EXP 	target: autoDraw = True
40.6930 	DATA 	Keypress: right
40.7091 	EXP 	New trial (rep=2, index=3): {'word': 'blue', 'color': 'blue', 'congruent': 1, 'corrAns': 'right'}
40.7246 	EXP 	target: autoDraw = False
40.7246 	EXP 	target: height = 0.05
40.7246 	EXP 	target: height = 0.05
40.7246 	EXP 	target: height = 0.05
40.7246 	EXP 	target: text = 'blue'
41.2084 	EXP 	target: autoDraw = True
41.5774 	EXP 	New trial (rep=2, index=4): {'word': 'red', 'color': 'red', 'congruent': 1, 'corrAns': 'left'}
41.5805 	DATA 	Keypress: right
41.5924 	EXP 	target: autoDraw = False
41.5924 	EXP 	target: height = 0.05
41.5924 	EXP 	target: height = 0.05
41.5924 	EXP 	target: height = 0.05
41.5924 	EXP 	target: text = 'red'
42.0761 	EXP 	target: autoDraw = True
42.6612 	EXP 	New trial (rep=2, index=5): {'word': 'red', 'color': 'green', 'congruent': 0, 'corrAns': 'down'}
42.6621 	DATA 	Keypress: left
42.6765 	EXP 	target: autoDraw = False
42.6765 	EXP 	target: text = 'red'
43.1603 	EXP 	target: autoDraw = True
43.7792 	EXP 	New trial (rep=3, index=0): {'word': 'green', 'color': 'blue', 'congruent': 0, 'corrAns': 'right'}
43.7819 	DATA 	Keypress: down
43.7945 	EXP 	target: autoDraw = False
43.7945 	EXP 	target: height = 0.05
43.7945 	EXP 	target: height = 0.05
43.7945 	EXP 	target: height = 0.05
43.7945 	EXP 	target: text = 'green'
