trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.text,textbox.started,textbox.stopped,endButton.started,endButton.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,Hello there,14.888529800009564,None,14.888529800009564,None,[0.055555556],[-0.40925926],[1],[0],[0],[10.245761699989089],['endButton'],0.0013110000727465376,None,kyle,001,2022-06-16_18h55.23.444,TextResponse,2022.1.4,60.02797303529558,
1,0,1,0,hello again,25.131509700004244,None,25.131509700004244,None,[-0.0046296297],[-0.41203704],[1],[0],[0],[7.104195899999468],['endButton'],0.013038800010690466,None,kyle,001,2022-06-16_18h55.23.444,TextResponse,2022.1.4,60.02797303529558,
