trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.text,textbox.started,textbox.stopped,endButton.started,endButton.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,Hello There,13.391172100004042,None,13.391172100004042,None,"[-0.0055555557, 0.175, -0.0064814813]","[-0.015740741, -0.0037037036, -0.39722222]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.0099002000060864, 2.0108582000102615, 12.521405400009826]",['endButton'],0.011730899976100773,None,kyle,001,2022-06-16_18h52.29.951,TextResponse,2022.1.4,59.976525189083496,
1,0,1,0,hello again,25.885796300004586,None,25.885796300004586,None,"[0.021296296, 0.022222223, 0.2037037, 0.21481481, 0.19259259, 0.18425927, 0.097222224]","[-0.0074074073, -0.010185185, 0.0027777778, 0.009259259, 0.0, -0.0064814813, -0.41111112]","[1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[1.3315552999993088, 1.4983631999930367, 2.0657234999962384, 2.7829026999970665, 3.2334983000037028, 3.6506357999896863, 18.498093299989705]",['endButton'],0.012924059992656112,None,kyle,001,2022-06-16_18h52.29.951,TextResponse,2022.1.4,59.976525189083496,
